"Date";"Close Price";"Signal"
"2016-03-31";2943.4;"Hold"
"2016-04-01";2951.05;"Hold"
"2016-04-04";2979.4;"Hold"
"2016-04-05";2956.25;"Hold"
"2016-04-06";2983.55;"Hold"
"2016-04-07";2968.3;"Hold"
"2016-04-08";2920.3;"Hold"
"2016-04-11";2976.55;"Hold"
"2016-04-12";3049.95;"Hold"
"2016-04-13";3151.65;"Hold"
"2016-04-18";3065.35;"Hold"
"2016-04-20";3040.7;"Hold"
"2016-04-21";2988.5;"Hold"
"2016-04-22";3001.0;"Hold"
"2016-04-25";2967.4;"Hold"
"2016-04-26";2932.1;"Hold"
"2016-04-27";2949.05;"Hold"
"2016-04-28";2901.3;"Hold"
"2016-04-29";2901.3;"Hold"
"2016-05-02";2907.7;"Hold"
"2016-05-03";2884.4;"Hold"
"2016-05-04";2897.7;"Hold"
"2016-05-05";2893.95;"Hold"
"2016-05-06";2885.05;"Hold"
"2016-05-09";2948.1;"Hold"
"2016-05-10";2961.9;"Hold"
"2016-05-11";2960.65;"Hold"
"2016-05-12";2950.15;"Hold"
"2016-05-13";2915.85;"Hold"
"2016-05-16";2902.95;"Hold"
"2016-05-17";2927.95;"Hold"
"2016-05-18";2884.85;"Hold"
"2016-05-19";2890.3;"Hold"
"2016-05-20";2896.75;"Sell"
"2016-05-23";2883.95;"Hold"
"2016-05-24";2893.3;"Hold"
"2016-05-25";2929.25;"Hold"
"2016-05-26";2971.1;"Hold"
"2016-05-27";3003.25;"Hold"
"2016-05-30";3093.9;"Buy"
"2016-05-31";3099.15;"Hold"
"2016-06-01";3087.3;"Hold"
"2016-06-02";3137.3;"Hold"
"2016-06-03";3146.8;"Hold"
"2016-06-06";3102.0;"Hold"
"2016-06-07";3127.9;"Hold"
"2016-06-08";3170.4;"Hold"
"2016-06-09";3083.25;"Hold"
"2016-06-10";3067.45;"Hold"
"2016-06-13";3039.2;"Hold"
"2016-06-14";3011.55;"Hold"
"2016-06-15";3066.7;"Hold"
"2016-06-16";3023.4;"Hold"
"2016-06-17";3028.2;"Hold"
"2016-06-20";3048.65;"Hold"
"2016-06-21";3048.75;"Hold"
"2016-06-22";3068.6;"Hold"
"2016-06-23";3062.7;"Hold"
"2016-06-24";3055.95;"Hold"
"2016-06-27";3054.6;"Hold"
"2016-06-28";3025.5;"Hold"
"2016-06-29";3145.0;"Hold"
"2016-06-30";3180.85;"Hold"
"2016-07-01";3176.65;"Hold"
"2016-07-04";3161.75;"Hold"
"2016-07-05";3111.5;"Hold"
"2016-07-07";3101.3;"Hold"
"2016-07-08";3160.2;"Hold"
"2016-07-11";3236.55;"Hold"
"2016-07-12";3243.75;"Hold"
"2016-07-13";3235.55;"Hold"
"2016-07-14";3251.3;"Hold"
"2016-07-15";3237.7;"Hold"
"2016-07-18";3254.5;"Hold"
"2016-07-19";3229.4;"Hold"
"2016-07-20";3276.6;"Hold"
"2016-07-21";3265.65;"Hold"
"2016-07-22";3260.35;"Hold"
"2016-07-25";3279.7;"Hold"
"2016-07-26";3210.3;"Hold"
"2016-07-27";3203.5;"Hold"
"2016-07-28";3192.3;"Hold"
"2016-07-29";3206.45;"Hold"
"2016-08-01";3219.35;"Hold"
"2016-08-02";3260.0;"Hold"
"2016-08-03";3237.1;"Hold"
"2016-08-04";3270.1;"Hold"
"2016-08-05";3434.3;"Hold"
"2016-08-08";3456.8;"Hold"
"2016-08-09";3407.3;"Hold"
"2016-08-10";3320.5;"Hold"
"2016-08-11";3303.8;"Hold"
"2016-08-12";3313.3;"Hold"
"2016-08-16";3294.7;"Hold"
"2016-08-17";3360.15;"Hold"
"2016-08-18";3369.4;"Hold"
"2016-08-19";3359.25;"Hold"
"2016-08-22";3337.95;"Hold"
"2016-08-23";3306.45;"Hold"
"2016-08-24";3309.5;"Hold"
"2016-08-25";3303.75;"Hold"
"2016-08-26";3316.8;"Hold"
"2016-08-29";3405.75;"Hold"
"2016-08-30";3473.35;"Hold"
"2016-08-31";3547.5;"Hold"
"2016-09-01";3546.9;"Hold"
"2016-09-02";3578.55;"Hold"
"2016-09-06";3614.05;"Hold"
"2016-09-07";3609.85;"Hold"
"2016-09-08";3697.65;"Hold"
"2016-09-09";3623.8;"Hold"
"2016-09-12";3529.05;"Hold"
"2016-09-14";3589.5;"Hold"
"2016-09-15";3522.6;"Hold"
"2016-09-16";3585.15;"Hold"
"2016-09-19";3554.3;"Hold"
"2016-09-20";3468.1;"Hold"
"2016-09-21";3460.0;"Hold"
"2016-09-22";3538.6;"Hold"
"2016-09-23";3531.75;"Hold"
"2016-09-26";3463.7;"Hold"
"2016-09-27";3450.55;"Hold"
"2016-09-28";3450.45;"Hold"
"2016-09-29";3428.5;"Hold"
"2016-09-30";3414.35;"Hold"
"2016-10-03";3523.0;"Hold"
"2016-10-04";3531.55;"Hold"
"2016-10-05";3490.4;"Hold"
"2016-10-06";3473.6;"Hold"
"2016-10-07";3471.7;"Hold"
"2016-10-10";3489.7;"Hold"
"2016-10-13";3493.5;"Hold"
"2016-10-14";3482.2;"Hold"
"2016-10-17";3404.15;"Hold"
"2016-10-18";3410.5;"Hold"
"2016-10-19";3367.0;"Hold"
"2016-10-20";3362.75;"Hold"
"2016-10-21";3360.55;"Sell"
"2016-10-24";3334.3;"Hold"
"2016-10-25";3357.25;"Hold"
"2016-10-26";3421.55;"Hold"
"2016-10-27";3314.75;"Hold"
"2016-10-28";3347.65;"Hold"
